ID,Fecha,Numero de Proceso,Accion/Infraccion,Detalle
70,20/05/2019,09332201906136,ACCIÓN DE PROTECCIÓN,folder_open
71,24/04/2019,09501201900120,RECURSO DE QUEJA,folder_open
72,24/04/2019,09501201900118,RECURSO DE QUEJA,folder_open
73,24/04/2019,09501201900117,RECURSO DE QUEJA,folder_open
74,24/04/2019,09501201900116,RECURSO DE QUEJA,folder_open
75,21/02/2019,09332201902226,CONCURSO DE ACREEDORES,folder_open
76,24/01/2019,09315201900003G,COMISIÓN,folder_open
77,17/01/2019,09332201900766,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
78,16/01/2019,09501201900014,CONTRA ACTOS ADMINISTRATIVOS DE DETERMINACIÓN TRIBUTARIA,folder_open
79,14/01/2019,09501201900012,CONTRA ACTOS ADMINISTRATIVOS DE DETERMINACIÓN TRIBUTARIA,folder_open
80,14/12/2018,17100201800037,NULIDAD DE LAUDO ARBITRAL ART. 31 LAM,folder_open
81,16/11/2018,09501201800619,CONTRA NEGATIVA DE PAGO EN EXCESO,folder_open
82,26/10/2018,09332201811831,CONCURSO DE ACREEDORES,folder_open
83,26/10/2018,09332201811830,CONCURSO DE ACREEDORES,folder_open
84,25/09/2018,09330201800561,PRESCRIPCIÓN ADQUISITIVA DE DOMINIO,folder_open
85,03/09/2018,09501201800525,RECURSO DE QUEJA,folder_open
86,28/08/2018,09359201802428,ACCIÓN DE PROTECCIÓN,folder_open
87,20/07/2018,09802201800618,SUBJETIVO,folder_open
88,29/03/2018,09501201800248,EXTINCIÓN DE OBLIGACIÓN,folder_open
89,17/01/2018,09501201800042,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
90,09/01/2018,09332201800197,CONCURSO DE ACREEDORES,folder_open
91,09/01/2018,09332201800196,CONCURSO DE ACREEDORES,folder_open
92,09/01/2018,09332201800195,CONCURSO DE ACREEDORES,folder_open
93,08/01/2018,09501201800015,ACCIÓN CONTRA RESOLUCIÓN ADMINISTRATIVA QUE IMPONGA SANCIONES,folder_open
94,12/12/2017,09501201700750,IMPUGNACIÓN CONTRA RESOLUCIÓN DE LAS ADMINISTRACIONES TRIBUTARIAS,folder_open
95,29/11/2017,09501201700699,CONTRA RESOLUCIONES,folder_open
96,14/11/2017,09332201709851,MEDIDA CAUTELAR,folder_open
97,02/08/2017,09319201700303G,COMISIÓN,folder_open
98,11/07/2017,09501201700424,RECURSO DE QUEJA,folder_open
99,11/07/2017,09501201700423,RECURSO DE QUEJA,folder_open
100,11/07/2017,09501201700422,RECURSO DE QUEJA,folder_open
101,11/07/2017,09501201700419,RECURSO DE QUEJA,folder_open
102,11/07/2017,09501201700418,RECURSO DE QUEJA,folder_open
103,11/07/2017,09501201700417,RECURSO DE QUEJA,folder_open
104,30/05/2017,09332201703915,OTROS,folder_open
105,29/05/2017,02333201700069G,COMISIÓN,folder_open
106,09/05/2017,17230201706766,COBRO DE DINERO,folder_open
107,14/03/2017,09332201701611,OTROS,folder_open
108,02/03/2017,09501201700113,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
109,14/02/2017,09320201700057G,COMISIÓN,folder_open
110,27/12/2016,09332201611871,ACCIÓN DE PROTECCIÓN,folder_open
111,23/12/2016,09802201601041,EXCEPCIÓNES AL PROCEDIMIENTO DE EJECUCIÓN,folder_open
112,07/12/2016,1774120161375,NULIDAD DE ACTO ADMINISTRATIVO,folder_open
113,21/11/2016,09332201610672,OTROS,folder_open
114,28/10/2016,09802201600900,OBJETIVO,folder_open
115,19/10/2016,09802201600875,SUBJETIVO,folder_open
116,13/09/2016,09332201609198,ACCIÓN DE PROTECCIÓN,folder_open
117,26/08/2016,09802201600738,SUBJETIVO,folder_open
118,24/08/2016,09501201600356,EXCEPCIONES A LA COACTIVA ART. 316 NUM. 10 COGEP,folder_open
119,17/08/2016,09501201600346,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
120,02/08/2016,09501201600323,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
121,20/07/2016,09333201600493G,DEPRECATORIO,folder_open
122,13/07/2016,09501201600296,CONTRA RESOLUCIONES,folder_open
123,28/06/2016,08308201600141G,DEPRECATORIO,folder_open
124,22/06/2016,09332201607551,EMBARGO Y REMATE DE BIEN CON RESERVA DE DOMINIO,folder_open
125,21/06/2016,09501201600273,CONTRA RESOLUCIONES ADMNISTRATIVAS QUE IMPONGAN SANCIONES,folder_open
126,07/06/2016,09802201600559,SUBJETIVO,folder_open
127,20/05/2016,23331201601568,DAÑO MORAL,folder_open
128,17/03/2016,09501201600121,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
129,15/03/2016,09501201600113,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
130,23/02/2016,09501201600080,HABERSE PRESENTADO DEMANDA CONTENCIOSO TRIBUTARIA,folder_open
131,04/02/2016,09501201600062,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
132,29/01/2016,09501201600053,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
133,31/12/2015,09501201500216,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
134,03/12/2015,09501201500165,HABERSE PRESENTADO DEMANDA CONTENCIOSO TRIBUTARIA,folder_open
135,03/12/2015,09501201500164,EXTINCIÓN DE OBLIGACIÓN,folder_open
136,18/11/2015,09501201500144,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
137,20/08/2015,09501201500089,TRÁMITE PENDIENTE DE RESOLUCIÓN DE RECLAMO O RECURSO,folder_open
138,05/05/2015,09406201521383G,REGISTRO DE CONTRATO DE ARRENDAMIENTO,folder_open
139,09/04/2015,17404201516487G,REGISTRO DE CONTRATO DE ARRENDAMIENTO,folder_open
140,06/04/2015,17151201500781G,EXHIBICIÓN DE DOCUMENTOS,folder_open
141,26/03/2015,01333201502491,EJECUCIÓN DE LAUDO ARBITRAL,folder_open
142,19/03/2015,09503201500043,RECURSO DE QUEJA,folder_open
143,19/03/2015,09501201500038,RECURSO DE QUEJA,folder_open
144,17/03/2015,09502201500038,RECURSO DE QUEJA,folder_open
145,17/03/2015,09502201500037,RECURSO DE QUEJA,folder_open
146,17/03/2015,09502201500036,RECURSO DE QUEJA,folder_open
147,06/03/2015,09504201500031,HABERSE PRESENTADO DEMANDA CONTENCIOSO TRIBUTARIA,folder_open
148,28/02/2015,1720320152893,MEDIDA CAUTELAR,folder_open
149,24/02/2015,1740420158344G,REGISTRO DE CONTRATO DE ARRENDAMIENTO,folder_open
150,19/02/2015,0950120150022,RECURSO DE QUEJA,folder_open
151,26/01/2015,1781120150048G,DEPRECATORIO,folder_open
152,13/01/2015,0950320150004,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
153,12/01/2015,0950420150004,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
154,07/01/2015,0950220150002,RECURSO DE QUEJA,folder_open
155,07/01/2015,0950120150002,RECURSO DE QUEJA,folder_open
156,31/12/2014,0950120140145,RECURSO DE QUEJA,folder_open
157,31/12/2014,0950320140154,RECURSO DE QUEJA,folder_open
158,29/12/2014,0950220140144,RECURSO DE QUEJA,folder_open
159,16/12/2014,0950420140139,TRÁMITE PENDIENTE DE RESOLUCIÓN DE RECLAMO O RECURSO,folder_open
160,16/12/2014,0950120140139,NULIDAD DE AUTO DE PAGO O DEL PROCEDIMIENTO DE EJECUCIÓN,folder_open
161,03/12/2014,0950120140133,RECURSO DE QUEJA,folder_open
162,03/12/2014,0950320140143,RECURSO DE QUEJA,folder_open
163,25/11/2014,0950320140140,IMPUGNACIÓN CONTRA RESOLUCIÓN DE LAS ADMINISTRACIONES TRIBUTARIAS,folder_open
164,20/11/2014,0950320140138,HABERSE PRESENTADO DEMANDA CONTENCIOSO TRIBUTARIA,folder_open
165,28/05/2014,0950120140060,MUNICIPAL,folder_open
166,21/02/2014,0950420140023,EXTINCIÓN DE OBLIGACIÓN,folder_open
167,20/01/2014,09332201413488,EJECUTIVO ART. 413 C.P.C.,folder_open
168,08/01/2014,0933220146556,EJECUTIVO ART. 413 C.P.C.,folder_open
169,05/08/2013,0950320130074,RESOLUCIONES,folder_open
170,05/08/2013,0950320130075,RESOLUCIONES,folder_open
171,12/04/2013,0950420130038,RESOLUCIONES,folder_open
172,10/04/2013,0950420130037,RESOLUCIONES,folder_open
173,03/01/2013,0950420130001,RESOLUCIONES,folder_open
174,18/12/2012,0950320120141,RESOLUCIONES,folder_open
175,22/03/2012,0950120120024,EXTINCIÓN DE OBLIGACIÓN,folder_open
176,29/02/2012,0950120120021,ACTAS,folder_open
177,01/09/2011,0980120110656,SUBJETIVO,folder_open
178,16/06/2011,0950120110087,RESOLUCIONES,folder_open
179,06/10/2010,0950120100110,MUNICIPAL,folder_open
180,15/06/2010,0980120100408,SUBJETIVO,folder_open
181,16/04/2010,0980120100275,SUBJETIVO,folder_open
182,11/01/2010,1731320100034,COBRO DE PAGARÉ A LA ORDEN,folder_open
183,12/02/2009,0950220090957,ACTAS,folder_open
184,22/10/2007,1732520071062,PAGARE A LA ORDEN,folder_open
185,01/01/2007,0950120077207,PAGO INDEBIDO,folder_open
186,22/08/2006,0980120060303,SUBJETIVO,folder_open
187,07/09/2004,0980120040556,SUBJETIVO,folder_open
188,01/01/2004,0950420045239,RESOLUCIONES,folder_open
